"NAME","NAME_LONG","SOVEREIGNT"
"Angola","Angola","Angola"
"Andorra","Andorra","Andorra"
"United Arab Emirates","United Arab Emirates","United Arab Emirates"
"Antarctica","Antarctica","Antarctica"
"Antigua and Barb.","Antigua and Barbuda","Antigua and Barbuda"
"Burundi","Burundi","Burundi"
"Benin","Benin","Benin"
"Bahrain","Bahrain","Bahrain"
"Belize","Belize","Belize"
"Barbados","Barbados","Barbados"
"Botswana","Botswana","Botswana"
"Central African Rep.","Central African Republic","Central African Republic"
"Congo","Republic of the Congo","Republic of the Congo"
"Comoros","Comoros","Comoros"
"N. Cyprus","Northern Cyprus","Northern Cyprus"
"Cyprus","Cyprus","Cyprus"
"Djibouti","Djibouti","Djibouti"
"Dominica","Dominica","Dominica"
"Eritrea","Eritrea","Eritrea"
"Micronesia","Federated States of Micronesia","Federated States of Micronesia"
"Gabon","Gabon","Gabon"
"Guinea","Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau"
"Eq. Guinea","Equatorial Guinea","Equatorial Guinea"
"Grenada","Grenada","Grenada"
"Guyana","Guyana","Guyana"
"Jamaica","Jamaica","Jamaica"
"Kiribati","Kiribati","Kiribati"
"St. Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis"
"Liberia","Liberia","Liberia"
"Libya","Libya","Libya"
"Saint Lucia","Saint Lucia","Saint Lucia"
"Liechtenstein","Liechtenstein","Liechtenstein"
"Monaco","Monaco","Monaco"
"Madagascar","Madagascar","Madagascar"
"Maldives","Maldives","Maldives"
"Marshall Is.","Marshall Islands","Marshall Islands"
"Mali","Mali","Mali"
"Myanmar","Myanmar","Myanmar"
"Mauritius","Mauritius","Mauritius"
"Namibia","Namibia","Namibia"
"Nauru","Nauru","Nauru"
"Oman","Oman","Oman"
"Spratly Is.","Spratly Islands","Spratly Islands"
"Palau","Palau","Palau"
"Papua New Guinea","Papua New Guinea","Papua New Guinea"
"Qatar","Qatar","Qatar"
"Rwanda","Rwanda","Rwanda"
"W. Sahara","Western Sahara","Western Sahara"
"Scarborough Reef","Scarborough Reef","Scarborough Reef"
"S. Sudan","South Sudan","South Sudan"
"Serranilla Bank","Serranilla Bank","Serranilla Bank"
"Solomon Is.","Solomon Islands","Solomon Islands"
"Sierra Leone","Sierra Leone","Sierra Leone"
"El Salvador","El Salvador","El Salvador"
"San Marino","San Marino","San Marino"
"Somaliland","Somaliland","Somaliland"
"Swaziland","Swaziland","Swaziland"
"Seychelles","Seychelles","Seychelles"
"Togo","Togo","Togo"
"Turkmenistan","Turkmenistan","Turkmenistan"
"Tonga","Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago"
"Tuvalu","Tuvalu","Tuvalu"
"Vatican","Vatican","Vatican"
"St. Vin. and Gren.","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Vanuatu","Vanuatu","Vanuatu"
"Samoa","Samoa","Samoa"
"Zambia","Zambia","Zambia"
"Zimbabwe","Zimbabwe","Zimbabwe"
