IMDBid,Jacob,WikiLink,Ceremony,SubmissionCountry,NominationTitle,Languages,Directors,Result,QID,titleType,primaryTitle,originalTitle,imdbYear,runtimeMinutes,genres,CeremonyYear,YearOffset
tt1846445,add,/wiki/A_Cube_of_Sugar,85,Iran,A Cube of Sugar,Persian,Reza Mirkarimi,Withdrawn,Q4656206,movie,A Cube of Sugar,Ye habe ghand,2011,116,"Comedy,Drama,Family",2012,1
tt0133826,add,/wiki/Guru_(1997_film),70,India,Guru,Malayalam,Rajiv Anchal,Not nominated,Q5620328,movie,Guru,Guru,1997,136,"Drama,Fantasy",1997,0
tt0134148,add,/wiki/Three_Summer_Days,70,FR Yugoslavia,Three Summer Days,Serbian,Mirjana Vukomanovic,Not nominated,Q12760215,movie,Three Summer Days,Tri letnja dana,1997,90,Drama,1997,0
tt14326086,add,NA,95,Latvia,Janvaris,"Lithuanian, Latvian, Russian",Viestur Kairish,Not nominated,NA,movie,January,Janvaris,2022,95,Drama,2022,0
tt0038913,,/wiki/Shoeshine_(film),20,Italy,Shoeshine,Italian,Vittorio De Sica,Won Honorary Award,Q586310,movie,Shoeshine,Sciuscià,1946,87,Drama,1948,2
tt0039632,,/wiki/Monsieur_Vincent,21,France,Monsieur Vincent,French,Maurice Cloche,Won Honorary Award,Q1631673,movie,Monsieur Vincent,Monsieur Vincent,1947,111,"Biography,Drama,History",1949,2
tt0040522,,/wiki/Bicycle_Thieves,22,Italy,Bicycle Thief’s,Italian,Vittorio De Sica,Won Honorary Award,Q172837,movie,Bicycle Thieves,Ladri di biciclette,1948,89,Drama,1950,2
tt0040137,,/wiki/The_Walls_of_Malapaga,23,France,The Walls of Malapaga,"French, Italian",Maurice Cloche,Won Honorary Award,Q623050,movie,The Flesh is Weak,Le mura di Malapaga,1949,104,"Drama,Romance",1951,2
tt0040137,,/wiki/The_Walls_of_Malapaga,23,Italy,The Walls of Malapaga,"French, Italian",René Clément,Won Honorary Award,Q623050,movie,The Flesh is Weak,Le mura di Malapaga,1949,104,"Drama,Romance",1951,2
tt0042876,,/wiki/Rashomon,24,Japan,Rashomon,Japanese,Akira Kurosawa,Won Honorary Award,Q135465,movie,Rashomon,Rashômon,1950,88,"Crime,Drama,Mystery",1952,2
tt0043686,,/wiki/Forbidden_Games,25,France,Forbidden Games,French,René Clément,Won Honorary Award,Q976558,movie,Forbidden Games,Jeux interdits,1952,86,"Comedy,Drama,War",1953,1
tt0045935,,/wiki/Gate_of_Hell_(film),27,Japan,Gate of Hell,Japanese,Teinosuke Kinugasa,Won Honorary Award,Q862708,movie,Gate of Hell,Jigokumon,1953,89,"Drama,History",1955,2
tt0047444,,/wiki/Samurai_I:_Musashi_Miyamoto,28,Japan,"Samurai, The Legend of Musashi",Japanese,Hiroshi Inagaki,Won Honorary Award,Q1631789,movie,Samurai I: Musashi Miyamoto,Miyamoto Musashi,1954,93,"Action,Adventure,Biography",1956,2
tt0048523,,/wiki/Qivitoq,29,Denmark,Qivitoq,Danish,Erik Balling,Nominated,Q1403033,movie,Qivitoq,Qivitoq,1956,119,"Drama,Family,Romance",1957,1
tt0049259,,/wiki/Gervaise_(film),29,France,Gervaise,French,René Clément,Nominated,Q225553,movie,Gervaise,Gervaise,1956,112,Drama,1957,1
tt0047528,,/wiki/La_Strada,29,Italy,La Strada,Italian,Federico Fellini,Won Academy Award,Q18402,movie,La strada,La strada,1954,108,Drama,1957,3
tt0049012,,/wiki/The_Burmese_Harp_(1956_film),29,Japan,The Burmese Harp,Japanese,Kon Ichikawa,Nominated,Q1631964,movie,The Burmese Harp,Biruma no tategoto,1956,116,"Drama,Music,War",1957,1
tt0372761,,/wiki/Child_of_Sorrow_(film),29,Philippines,Anak dalita,Tagalog,Lamberto V. Avellana,Not nominated,Q5097886,movie,Child of Sorrow,Anak dalita,1956,119,"Crime,Drama",1957,1
tt0048697,,/wiki/Afternoon_of_the_Bulls,29,Spain,Afternoon of the Bulls,Spanish,Ladislao Vajda,Not nominated,Q4690792,movie,Afternoon of the Bulls,Tarde de toros,1956,75,Drama,1957,1
tt0049659,,/wiki/The_Staffan_Stolle_Story,29,Sweden,The Staffan Stolle Story,Swedish,Hasse Ekman,Not nominated,Q7766164,movie,Ratataa eller The Staffan Stolle Story,Ratataa eller The Staffan Stolle Story,1956,107,"Comedy,Musical,Romance",1957,1
tt0049293,,/wiki/The_Captain_from_K%C3%B6penick_(1956_film),29,West Germany,The Captain of Köpenick,German,Helmut Käutner,Nominated,Q320219,movie,The Captain from Köpenick,Der Hauptmann von Köpenick,1956,93,"Comedy,Drama",1957,1
tt0050542,,/wiki/Be_Dear_to_Me,30,Denmark,No Time for Tenderness,Danish,Annelise Hovmand,Not nominated,Q4875485,movie,Be Dear to Me,Ingen tid til kærtegn,1957,101,"Drama,Family",1958,1
tt0050850,,/wiki/Gates_of_Paris_(film),30,France,Gates of Paris,French,René Clair,Nominated,Q1005620,movie,The Gates of Paris,Porte des Lilas,1957,95,"Crime,Drama,Romance",1958,1
tt0263656,,/wiki/The_Lake_of_Thinking,30,Greece,The Lagoon of Desire,Greek,Giorgos Zervos,Not nominated,Q3209935,movie,Lagoon of Desire,I limni ton pothon,1957,98,"Drama,Romance",1958,1
tt0050188,,/wiki/Mother_India,30,India,Mother India,Hindi,Mehboob Khan,Nominated,Q1411238,movie,Mother India,Mother India,1957,172,"Action,Comedy,Drama",1958,1
tt0050783,,/wiki/Nights_of_Cabiria,30,Italy,Nights of Cabiria,Italian,Federico Fellini,Won Academy Award,Q18405,movie,Nights of Cabiria,Le notti di Cabiria,1957,110,Drama,1958,1
tt0050136,,/wiki/Untamed_(1957_film),30,Japan,Arakure,Japanese,Mikio Naruse,Not nominated,Q3549482,movie,Untamed Woman,Arakure,1957,121,Drama,1958,1
tt0051099,,/wiki/Torero!_(film),30,Mexico,Torero!,Spanish,Carlos Velo,Not nominated,Q3532275,movie,Torero,Torero,1956,75,"Documentary,Drama",1958,2
tt0050762,,/wiki/Nine_Lives_(1957_film),30,Norway,Nine Lives,Norwegian,Arne Skouen,Nominated,Q1402615,movie,Nine Lives,Ni liv,1957,96,"Action,Adventure,Biography",1958,1
tt0049043,,/wiki/Calle_Mayor_(film),30,Spain,High Street,Spanish,Juan Antonio Bardem,Not nominated,Q1996776,movie,Main Street,Calle Mayor,1956,99,Drama,1958,2
tt0050976,,/wiki/The_Seventh_Seal,30,Sweden,The Seventh Seal,Swedish,Ingmar Bergman,Not nominated,Q217189,movie,The Seventh Seal,Det sjunde inseglet,1957,96,"Drama,Fantasy",1958,1
tt3281142,,NA,30,Taiwan,Amina,Mandarin Chinese,Yuan Congmei,Not nominated,NA,movie,Amina,Amina,1957,90,Drama,1958,1
tt0050746,,/wiki/The_Devil_Strikes_at_Night,30,West Germany,The Devil Strikes at Night,German,Robert Siodmak,Nominated,Q551992,movie,The Devil Strikes at Night,Nachts wenn der Teufel kam,1957,105,"Crime,Drama,Thriller",1958,1
tt0050464,,/wiki/The_Girls_Are_Willing,31,Denmark,Dollars from the Sky,Danish,Gabriel Axel,Not nominated,Q12314576,movie,The Girls Are Willing,Guld og grønne skove,1958,89,"Comedy,Family,Romance",1959,1
tt0051390,,/wiki/Cairo_Station,31,Egypt,Cairo Station,Arabic,Youssef Chahine,Not nominated,Q765535,movie,Cairo Station,Bab el hadid,1958,77,"Crime,Drama",1959,1
tt0050706,,/wiki/Mon_Oncle,31,France,My Uncle,French,Jacques Tati,Won Academy Award,Q1346590,movie,Mon Oncle,Mon oncle,1958,116,Comedy,1959,1
tt0050665,,/wiki/Madhumati,31,India,Madhumati,Hindi,Bimal Roy,Not nominated,Q3764866,movie,Madhumati,Madhumati,1958,110,"Fantasy,Musical,Mystery",1959,1
tt0052216,,/wiki/Big_Deal_on_Madonna_Street,31,Italy,Big Deal on Madonna Street,Italian,Mario Monicelli,Nominated,Q1233716,movie,Big Deal on Madonna Street,I soliti ignoti,1958,106,"Comedy,Crime",1959,1
tt0051980,,/wiki/The_Ballad_of_Narayama_(1958_film),31,Japan,Ballad of Narayama,Japanese,Keisuke Kinoshita,Not nominated,Q2480468,movie,The Ballad of Narayama,Narayama bushikô,1958,98,Drama,1959,1
tt0051155,,/wiki/Vengeance_(1958_film),31,Spain,La Venganza,Spanish,Juan Antonio Bardem,Nominated,Q568720,movie,La venganza,La venganza,1958,122,Drama,1959,1
tt0051365,,/wiki/The_Magician_(1958_film),31,Sweden,The Magician,Swedish,Ingmar Bergman,Not nominated,Q1078890,movie,The Magician,Ansiktet,1958,101,"Comedy,Drama",1959,1
tt0051712,,/wiki/Arms_and_the_Man_(1958_film),31,West Germany,Arms and the Man,German,Franz Peter Wirth,Nominated,Q316324,movie,Arms and the Man,Helden,1958,100,"Comedy,Romance",1959,1
tt0052250,,/wiki/The_Road_a_Year_Long,31,Yugoslavia,The Road a Year Long,Italian,Giuseppe De Santis,Nominated,Q1632165,movie,The Year Long Road,La strada lunga un anno,1958,162,Drama,1959,1
tt0053158,,/wiki/Paw_(film),32,Denmark,Paw,Danish,Astrid Henning-Jensen,Nominated,Q1632262,movie,Boy of Two Worlds,Paw,1959,93,"Drama,Family",1960,1
tt0231477,,/wiki/The_Nightingale%27s_Prayer,32,Egypt,The Nightingale's Prayer,Arabic,Henry Barakat,Not nominated,Q1660381,movie,The Curlew's Cry,Doa al karawan,1959,109,"Drama,Romance",1960,1
tt0053146,,/wiki/Black_Orpheus,32,France,Black Orpheus,Portuguese,Marcel Camus,Won Academy Award,Q538266,movie,Black Orpheus,Orfeu Negro,1959,100,"Drama,Musical,Romance",1960,1
tt0194573,,"/wiki/For_Better,_for_Worse_(1959_film)",32,Hong Kong,"For Better, for Worse",Mandarin,Yueh Feng,Not nominated,Q5466677,movie,Yu guo tian qing,Yu guo tian qing,1959,88,Drama,1960,1
tt0052572,,/wiki/The_World_of_Apu,32,India,The World of Apu,Bengali,Satyajit Ray,Not nominated,Q622376,movie,The World of Apu,Apur Sansar,1959,105,Drama,1960,1
tt0052861,,/wiki/The_Great_War_(1959_film),32,Italy,The Great War,Italian,Mario Monicelli,Nominated,Q150867,movie,The Great War,La grande guerra,1959,137,"Comedy,Drama,War",1960,1
tt0053121,,/wiki/Fires_on_the_Plain_(1959_film),32,Japan,Fires on the Plain,Japanese,Kon Ichikawa,Not nominated,Q2718554,movie,Fires on the Plain,Nobi,1959,108,"Drama,War",1960,1
tt0051983,,/wiki/Nazar%C3%ADn,32,Mexico,Nazarín,Spanish,Luis Buñuel,Not nominated,Q386522,movie,Nazarin,Nazarín,1959,94,Drama,1960,1
tt0051552,,/wiki/The_Village_on_the_River,32,Netherlands,The Village on the River,Dutch,Fons Rademakers,Nominated,Q1402422,movie,Village by the River,Dorp aan de rivier,1958,92,Drama,1960,2
tt0375865,,/wiki/The_Day_Shall_Dawn,32,Pakistan,The Day Shall Dawn,Urdu,A. J. Kardar,Not nominated,Q7729188,movie,Jago Hua Savera,Jago Hua Savera,1959,94,Drama,1960,1
tt0194984,,/wiki/The_Kingdom_and_the_Beauty,32,Singapore,The Kingdom and the Beauty,Mandarin,Li Han-hsiang,Not nominated,Q7744625,movie,The Kingdom and the Beauty,Jiang shan mei ren,1959,100,"Drama,Family,Musical",1960,1
tt0052654,,/wiki/Die_Br%C3%BCcke_(film),32,West Germany,The Bridge,German,Bernhard Wicki,Nominated,Q509003,movie,The Bridge,Die Brücke,1959,103,"Drama,War",1960,1
tt0170774,,/wiki/Train_Without_a_Timetable,32,Yugoslavia,Train Without a Timetable,Serbo-Croatian,Veljko Bulajić,Not nominated,Q3507366,movie,Vlak bez voznog reda,Vlak bez voznog reda,1959,121,Drama,1960,1
tt0055195,,/wiki/A_Morte_Comanda_o_Canga%C3%A7o,33,Brazil,Death Commands Brigandage,Portuguese,Carlos Coimbra & Walter Guimarães Motta,Not nominated,Q4658373,movie,A Morte Comanda o Cangaço,A Morte Comanda o Cangaço,1960,100,"Action,Western",1961,1
tt0231126,,/wiki/Teenagers_(film),33,Egypt,Teenagers,Arabic,Ahmed Diaeddin,Not nominated,Q7694473,movie,Teenagers,Almurahikat,1960,125,"Drama,Romance",1961,1
tt0054452,,/wiki/La_V%C3%A9rit%C3%A9_(film),33,France,La Vérité,French,Henri-Georges Clouzot,Nominated,Q1217355,movie,La Vérité,La vérité,1960,128,Drama,1961,1
tt0059029,,/wiki/The_Enchanting_Shadow,33,Hong Kong,The Enchanting Shadow,Mandarin,Li Han-hsiang,Not nominated,Q3986786,movie,The Enchanting Shadow,Ching nu yu hun,1960,83,"Drama,Fantasy,Horror",1961,1
tt0054098,,/wiki/Mughal-e-Azam,33,India,The Great Moghul,"Hindi, Urdu",K. Asif,Not nominated,Q1367294,movie,Mughal-E-Azam,Mughal-E-Azam,1960,197,"Drama,Romance,War",1961,1
tt0052961,,/wiki/Kapo_(1960_film),33,Italy,Kapò,Italian,Gillo Pontecorvo,Nominated,Q1234483,movie,Kapo,Kapò,1960,117,"Drama,War",1961,1
tt0053579,,/wiki/Late_Autumn_(1960_film),33,Japan,Late Autumn,Japanese,Yasujirō Ozu,Not nominated,Q2739665,movie,Late Autumn,Akibiyori,1960,128,"Comedy,Drama",1961,1
tt0054042,,/wiki/Macario_(film),33,Mexico,Macario,Spanish,Roberto Gavaldón,Nominated,Q13422016,movie,Macario,Macario,1960,91,"Drama,Fantasy,Mystery",1961,1
tt0053563,,/wiki/At_Five_O%27Clock_in_the_Afternoon,33,Spain,At Five O'Clock in the Afternoon,Spanish,Juan Antonio Bardem,Not nominated,Q4812311,movie,At Five in the Afternoon,A las cinco de la tarde,1960,103,Drama,1961,1
tt0053976,,/wiki/The_Virgin_Spring,33,Sweden,The Virgin Spring,Swedish,Ingmar Bergman,Won Academy Award,Q753141,movie,The Virgin Spring,Jungfrukällan,1960,89,Drama,1961,1
tt0163624,,/wiki/Faust_(1960_film),33,West Germany,Faust,German,Peter Gorski,Not nominated,Q1398537,movie,Faust,Faust,1960,128,"Drama,Fantasy",1961,1
tt0053764,,/wiki/The_Ninth_Circle,33,Yugoslavia,The Ninth Circle,Serbo-Croatian,France Štiglic,Nominated,Q1632388,movie,The Ninth Circle,Deveti krug,1960,107,"Drama,Romance,War",1961,1
tt0055299,,/wiki/Summer_Skin_(film),34,Argentina,Summer Skin,Spanish,Leopoldo Torre Nilsson,Not nominated,Q7637436,movie,Summerskin,Piel de verano,1961,96,Drama,1962,1
tt0133881,,/wiki/Jedermann_(film),34,Austria,Jedermann,German,Gottfried Reinhardt,Not nominated,Q5417847,movie,Everyman,Jedermann,1961,105,Drama,1962,1
tt0054965,,/wiki/Harry_and_the_Butler,34,Denmark,Harry and the Butler,Danish,Bent Christensen,Nominated,Q1403047,movie,Harry and the Butler,Harry og kammertjeneren,1961,105,"Comedy,Family",1962,1
tt0370051,,/wiki/Oh_Islam,34,Egypt,Love and Faith,Arabic,Enrico Bomba & Andrew Marton,Not nominated,Q6151145,movie,Wa Islamah,Wa Islamah,1961,110,"Drama,History,War",1962,1
tt0054632,,/wiki/Last_Year_at_Marienbad,34,France,Last Year at Marienbad,French,Alain Resnais,Not nominated,Q225355,movie,Last Year at Marienbad,L'année dernière à Marienbad,1961,94,"Drama,Mystery",1962,1
tt0176192,,/wiki/Stree_(1961_film),34,India,Stree,Hindi,Rajaram Vankudre Shantaram,Not nominated,Q7622761,movie,Stree,Stree,1961,139,Fantasy,1962,1
